word,importance
ender,0.008217846974730492
 bl,0.008217846974730492
 クリエイター,0.007482183114271847
 オブジェクト,0.00532561496130746
 偏見,0.004349208668247012
 登山,0.0036848686868324876
 熱い,0.0035177213460128144
irl,0.003448223550521741
 戦時,0.003393869905266911
谷,0.0033017758978530765
 准,0.0033017758978530765
ann,0.0032351145063964372
ular,0.0032351145063964372
 魅了,0.0031804753821273466
ed,0.0030926415763263193
 苦しむ,0.0030461699892244207
 トンガ,0.003033334796782583
 置換,0.003028135746717453
ots,0.0029787622732966278
 季節,0.00286744098411873
oy,0.002854661968322349
 シャドウ,0.00283703557215631
盤,0.0028355282976124914
 旋,0.0028355282976124914
 ひど,0.0028065070062159346
 group,0.0027926891371890003
 are,0.002792689137189
 馴染み,0.002767869783153706
 配属,0.0026656937390898876
j,0.0026400644417290137
Q,0.002603726120520699
 BB,0.002603726120520699
 有意,0.002583734574727714
 番台,0.0025668694579508156
 Il,0.0025663473584450146
ヒル,0.0025593085156288
rie,0.0025516723695999345
or,0.0025516723695999345
 トーク,0.00254041887819767
 松,0.002531662001274526
 カッ,0.0024991735803032546
 従業,0.002450579896685667
ura,0.0024338477472932124
ister,0.0024338477472932124
 横,0.002420804535308924
 集約,0.002417301351670176
 恋人,0.0024119224690366536
vin,0.002400026314832743
 競う,0.002391281770542264
ソン,0.002364097029818737
 以後,0.0023422178346663713
less,0.0022961511979085977
gar,0.0022961511979085977
ake,0.002275419826751486
 ロール,0.002273840786074288
 通学,0.0022424480915572997
 明るい,0.002230849043771177
VA,0.0022258523614296028
 JA,0.0022258523614296028
ッター,0.0022138937783893198
 チームメイト,0.002182237687520683
 is,0.0021800422331406956
 that,0.0021800422331406956
 ワイヤー,0.0021760124363936484
 格差,0.0021727661638943734
弦,0.0021610453259199858
 希望,0.002142444927032978
 掴み,0.0021212516773131585
 徐,0.0021178966999286786
 スピー,0.002105356224156901
 時計,0.002077432523947209
 消える,0.0020687079522758722
 高圧,0.002068572235822847
 ノ,0.0020605735771823674
抱,0.002041544037638232
型,0.0020347542595118284
 切,0.0020299770403653383
 ゼミ,0.0020103356579228293
カル,0.001998254854697734
 パートナー,0.001989861309994012
ic,0.0019814538912147914
io,0.001976259943479911
 wh,0.0019480332040369246
 ウクライナ,0.0019396316492930055
 佐竹,0.0019258695503915934
 You,0.0019247921401558566
 ナノ,0.0019218344241380692
 マテ,0.0019218344241380692
ter,0.001915442052523483
ust,0.001915442052523483
っきり,0.0019100663896186546
 勝つ,0.0018867196631617844
 尚,0.0018799440098722624
 センチ,0.0018745597340114992
 Sh,0.0018656480688052238
要,0.0018622774282085574
 ゴミ,0.0018501942977309227
 con,0.001838509459944148
狼,0.001838278112700209
 専用,0.0018360997254337024
 指向,0.0018341618150763182
 天気,0.0018174122378695756
 パス,0.0018145992514144024
 業界,0.0018115089187631384
 the,0.0018101224789797037
 素材,0.0018085628980770707
 久保,0.0017906838791980728
 造形,0.0017905515795122952
 迷い,0.001786994318536017
 波形,0.0017851549028038572
 セット,0.0017784706433303654
 歳,0.0017690385358500346
 つとめ,0.0017647179774940014
 en,0.0017613254033688145
 訪れ,0.0017601251893211156
グル,0.001746293177665581
 プログラミング,0.0017406266304797304
 観光,0.0017345821887085383
 ロシア,0.0017294544959440827
 水質,0.0017283861913407843
 be,0.0017199689453246114
突,0.0017178890702780336
 唐,0.0017178890702780336
 Wh,0.001709636939423425
 実戦,0.0017057310965065745
 ほし,0.0017005099942489258
 楽し,0.0016947026761634483
 バブル,0.001690486416919157
キング,0.0016871049705187823
 The,0.001685045992157289
妙,0.0016848320374265313
 間近,0.0016687366587575525
 class,0.001662380177955524
則,0.0016517569602001458
 岡,0.0016477423281792331
慢,0.001637775159906596
 運,0.0016275163652608171
 づ,0.0016261908085713397
 with,0.0016175574527673416
 べ,0.0015987796359695494
 溶接,0.0015961428727419495
 DO,0.0015930992736042863
os,0.0015843311479936044
睦,0.0015692910965299234
 利害,0.001568870502524078
